URI,Title,Authority,Deity,Denomination,Department,Diameter,Dynasty,Issuer,Manufacture,Material,Mint,Obverse Legend,Obverse Type,Object Type,Portrait,Reference,Region,Region-coord,Reverse Legend,Reverse Type,Weight,terminus_post_quem,terminus_ante_quem,year_avg,Thumbnail_obv,Thumbnail_rev
http://numismatics.org/collection/1920.999.315,"Bronze AE3 of Arcadius, Antioch, AD 406 - AD 408. 1920.999.315",Arcadius,,AE3,Roman,15.5,,,Struck,Bronze,Antioch,D N HONORIVS P F AVG,"Bust pearl diademed cuirassed draped right, star in left field",Coin,Honorius|Arcadius|Theodosius II,RIC X Arcadius 153,Syria,"33.513056, 36.291944",GLORIA ROMA[NORVM],Three emperors standing,2.106,406,408,407,http://numismatics.org/collectionimages/19001949/1920/1920.999.315.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1920/1920.999.315.rev.width175.jpg
http://numismatics.org/collection/1920.999.316,"Bronze AE3 of Arcadius, Antioch, AD 406 - AD 408. 1920.999.316",Arcadius,,AE3,Roman,13.5,,,Struck,Bronze,Antioch,D N HONORIVS P F AVG,Bust pearl diademed cuirassed draped right,Coin,Honorius|Arcadius|Theodosius II,RIC X Arcadius 153,Syria,"33.513056, 36.291944",GLORIA ROMANORVM,Three emperors standing,1.871,406,408,407,http://numismatics.org/collectionimages/19001949/1920/1920.999.316.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1920/1920.999.316.rev.width175.jpg
http://numismatics.org/collection/1923.150.193,"Bronze AE4 of Leo I, Constantinople, AD 457 - AD 474. 1923.150.193",Leo I,,AE4,Roman,19.5,,Leo I,,Bronze,Constantinople,D N LEO PERPET AVG,bust diademed draped cuirassed right,Coin,,,,,,Leo I monogram I within wreath,1.021,457,474,465,http://numismatics.org/collectionimages/19001949/1923/1923.150.193.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1923/1923.150.193.rev.width175.jpg
http://numismatics.org/collection/1925.172.56,"Gold Solidus of Valentinian III, Ravenna, AD 426 - AD 430. 1925.172.56",Valentinian III,,Solidus,Roman,21,,,Struck,Gold,Ravenna,D N PLA VALENT[I]-NIANVS P F AVG,Bust diademed draped cuirassed right,Coin,Valentinian III,RIC X Valentinian III 2011,Italy,"41.9, 12.5",VICTORI-A AVGGG,"Emperor standing front, holding cross sceptre and Victory on globe, right foot on human headed serpent",4.371,426,430,428,http://numismatics.org/collectionimages/19001949/1925/1925.172.56.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1925/1925.172.56.rev.width175.jpg
http://numismatics.org/collection/1925.172.57,"Gold Solidus of Zeno, Constantinople, AD 476 - AD 491. 1925.172.57",Zeno,Victory,Solidus,Roman,19.5,,,Struck,Gold,Constantinople,D N ZENO - PERP AVG,Bust facing helmeted cuirassed holding spear in right and shield on left shoulder,Coin,Zeno,RIC X Zeno (East) 910,Thrace,"42.15, 24.75",VICTORI-A AVGGG,Victory standing left holding cross sceptre,4.489,476,491,483,http://numismatics.org/collectionimages/19001949/1925/1925.172.57.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1925/1925.172.57.rev.width175.jpg
http://numismatics.org/collection/1929.104.17,"Bronze AE4 of Theodosius II, AD 408 - AD 450. 1929.104.17",Theodosius II,Victory,AE4,Roman,10.5,,Theodosius II,,Bronze,,[D N THEODO]SIVS P F AVG,Bust diademed draped cuirassed right,Coin,,,,,[CO]NCO[R]DIA AVG,Victory advancing left holding wreath and palm,1.098,408,450,429,http://numismatics.org/collectionimages/19001949/1929/1929.104.17.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1929/1929.104.17.rev.width175.jpg
http://numismatics.org/collection/1930.198.1023,"Bronze AE4 of Basiliscus, Constantinople, AD 475 - AD 476. 1930.198.1023",Basiliscus,,AE4,Roman,11,,,Struck,Bronze,Constantinople,D N bASIL A]VG,Bust r.,Coin,Basiliscus,RIC X Basiliscus 1014,Thrace,"42.15, 24.75",,Basiliscis monogram in wreath,1.09,475,476,475,http://numismatics.org/collectionimages/19001949/1930/1930.198.1023.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.1023.rev.width175.jpg
http://numismatics.org/collection/1930.198.1024,"Bronze AE4 of Basiliscus, Constantinople, AD 475 - AD 476. 1930.198.1024",Basiliscus,,AE4,Roman,10,,,Struck,Bronze,Constantinople,D N [BASILI]SC[VS P F AVG],Bust r.,Coin,Basiliscus,RIC X Basiliscus 1014,Thrace,"42.15, 24.75",,Basiliscus monogram in wreath,1.09,475,476,475,http://numismatics.org/collectionimages/19001949/1930/1930.198.1024.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.1024.rev.width175.jpg
http://numismatics.org/collection/1930.198.314,"Bronze AE4 of Basiliscus, Flavius Marcus, Cyzicus, AD 475 - AD 476. 1930.198.314",Basiliscus|Flavius Marcus,,AE4,Roman,12,,,Struck,Bronze,Cyzicus,D N BASI]L ET MAR [P AVG],Bust draped cuirassed right,Coin,Basiliscus|Flavius Marcus,RIC X Basiliscus and Marcus 1034,Mysia,"39.1325, 27.184167",,Basiliscus and Marcus monogram in wreath,0.96,475,476,475,http://numismatics.org/collectionimages/19001949/1930/1930.198.314.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.314.rev.width175.jpg
http://numismatics.org/collection/1930.198.315,"Bronze AE4 of Marcian, Heraclea, AD 450 - AD 457. 1930.198.315",Marcian,,AE4,Roman,11,,,Struck,Bronze,Heraclea,D N[,Bust r.,Coin,Marcian,RIC X Marcian 538,Thrace,"42.15, 24.75",,Marcian monogram 1 in wreath with cross above,0.95,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.315.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.315.rev.width175.jpg
http://numismatics.org/collection/1930.198.316,"Bronze AE4 of Marcian, Constantinople, AD 450 - AD 457. 1930.198.316",Marcian,,AE4,Roman,11,,,Struck,Bronze,Constantinople,[D N MARCIANVS P F AVG],Bust r.,Coin,Marcian,RIC X Marcian 545,Thrace,"42.15, 24.75",,Marcian monogram 2 in wreath with cross above,0.9,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.316.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.316.rev.width175.jpg
http://numismatics.org/collection/1930.198.320,"Bronze AE4 of Marcian, Nicomedia, AD 450 - AD 457. 1930.198.320",Marcian,,AE4,Roman,11,,,Struck,Bronze,Nicomedia,D N MARCIANVS P F,Bust diademed draped cuirassed right,Coin,Marcian,RIC X Marcian 554,Bithynia,"40.766667, 29.933333",,Marcian monogram 1 in wreath,1.22,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.320.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.320.rev.width175.jpg
http://numismatics.org/collection/1930.198.321,"Bronze AE4 of Marcian, Nicomedia, AD 450 - AD 457. 1930.198.321",Marcian,,AE4,Roman,10.5,,,Struck,Bronze,Nicomedia,D N MAR[CIANVS P F],Bust diademed draped cuirassed right,Coin,Marcian,RIC X Marcian 551,Bithynia,"40.766667, 29.933333",,Marcian monogram 2 in wreath with cross above,0.77,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.321.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.321.rev.width175.jpg
http://numismatics.org/collection/1930.198.323,"Bronze AE4 of Marcian, Thessalonica, AD 450 - AD 457. 1930.198.323",Marcian,,AE4,Roman,10,,,Struck,Bronze,Thessalonica,D N M[ARC]IANVS [P F],Bust r.,Coin,Marcian,RIC X Marcian 535,Macedonia,"40.65, 22.9",,Marcian monogram 1 in wreath with cross above,1.23,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.323.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.323.rev.width175.jpg
http://numismatics.org/collection/1930.198.325,"Bronze AE4 of Marcian, Thessalonica, AD 450 - AD 457. 1930.198.325",Marcian,,AE4,Roman,10,,,Struck,Bronze,Thessalonica,[D N MARCIANVS P F AVG],Bust diademed draped cuirassed right,Coin,Marcian,RIC X Marcian 535,Macedonia,"40.65, 22.9",,Marcian monogram 1 in wreath with cross above,1.46,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.325.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.325.rev.width175.jpg
http://numismatics.org/collection/1930.198.327,"Bronze AE4 of Marcian, Constantinople, AD 450 - AD 457. 1930.198.327",Marcian,,AE4,Roman,10,,,Struck,Bronze,Constantinople,[D N MARCIA]NVS P F AVG,Bust r.,Coin,Marcian,RIC X Marcian 545,Thrace,"42.15, 24.75",,Marcian monogram 2 in wreath with cross above,1.03,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.327.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.327.rev.width175.jpg
http://numismatics.org/collection/1930.198.368,"Bronze AE4 of Marcian, Nicomedia, AD 450 - AD 457. 1930.198.368",Marcian,,AE4,Roman,11,,,Struck,Bronze,Nicomedia,D N MARCI]ANVS P A[VG],Bust r.,Coin,Marcian,RIC X Marcian 551,Bithynia,"40.766667, 29.933333",,Marcian monogram 2 within wreath with cross above,0.85,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.368.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.368.rev.width175.jpg
http://numismatics.org/collection/1930.198.372,"Bronze AE4 of Marcian, Nicomedia, AD 450 - AD 457. 1930.198.372",Marcian,,AE4,Roman,12,,,Struck,Bronze,Nicomedia,[ ],Bust r.,Coin,Marcian,RIC X Marcian 552,Bithynia,"40.766667, 29.933333",,Marcian monogram 2 within wreath with star above,1.11,450,457,453,http://numismatics.org/collectionimages/19001949/1930/1930.198.372.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1930/1930.198.372.rev.width175.jpg
