voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
36817,Charles and Harriot,U.S.A.,"Earle, William",1805-06-01,Mozambique,Montevideo,Rio de la Plata,170,128,,,,,,
36818,Swift,U.S.A.,"Mayberry, Freeman",1805-06-01,Mozambique,Montevideo,Rio de la Plata,246,170,,,,,,76
36884,Ann,U.S.A.,"Dennison, Jonathan",1806-07-24,Elmina,Cape of Good Hope,Southeast Africa and Indian Ocean islands,163,123,,,,,,
36971,Fracial,U.S.A.,"Malbon, Henry",,Mozambique,Montevideo,Rio de la Plata,202,75,,,,,,127
36997,Charles,U.S.A.,"Thurber, John",1693-??-??,Madagascar,New York,New York,34,27,,,,,,
36998,Margaret,U.S.A.,"Burgess, Samuel",1695-02-??,Madagascar,New York,New York,123,101,,,,,,
36999,New York Merchant,U.S.A.,"Jacobs, Cornelius",1697-01-??,Madagascar,New York,New York,83,70,,,,,,
37011,Charles,,"Thurber, John",,Madagascar,,,181,155,,,,,,
37012,Katherine,,"Mostyn, Thomas",1695-02-??,Madagascar,,,181,155,,,,,,
37013, ,,"Jacobs, Cornelius",1697-??-??,Madagascar,New York,New York,181,155,,,,,,
37015,Fortune,,"Mostyn, Thomas",,Madagascar,New York,New York,181,155,,,,,,
37041,Almanac,U.S.A.,"Chace, Samuel",1800-04-21,Quilimane,Montevideo,Rio de la Plata,368,344,,,,,,24
37043,Susanna (a) Suzana,,"Evans, Lymon",,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,210,190,,,,,,
37045,Ann,U.S.A.,"Denninson, J",1806-??-??,Cape Mount (Cape Grand Mount),Cape of Good Hope,Southeast Africa and Indian Ocean islands,184,156,,,,,,
37047,Peje,,"Dunn, Joel",,Mozambique,"Florida, port unspecified",Florida,19,16,,,,,,
37090,Medion,U.S.A.,,1801-12-08,Mozambique,,,390,353,,,,,,
37100,Agent,,,,Mozambique,New Orleans,Gulf coast,267,201,,,,,,
37108,Trial,,"Gardner, John",,Mozambique,,,390,353,,,,,,
37109,Harmonia,U.S.A.,,1801-12-26,Mozambique,,,390,353,,,,,,
37110, ,U.S.A.,"William, James",,Inhambane,,,50,,,,,,,
37115,Agent,U.S.A.,Campbell,1807-04-27,Mozambique,Louisiana,Gulf coast,180,135,,,,,,
37138,Horizon,,McClure,1804-12-04,Zanzibar,,,267,201,,,,,,
37222,Richmond,U.S.A.,,,Mozambique,Havana,Cuba,149,126,,,,,,
39058,Esplorador,Spain,"Blas Conde, Mariano",1837-07-07,Mozambique,Havana,Cuba,560,200,,,,,,360
39092,Inácio,Spain,,1801-??-??,Mozambique,,,514,421,,,,,,
39093,Diogenes,,,,Mozambique,,,490,444,,,,,,
40297,NS Mãe de Deus dos Homens e S Antônio Po,,"Martins, Antônio José",,Mozambique,"Bahia, port unspecified",Bahia,34,31,,,,,,
40505,Cabragante,,"Lagrão, Pedro",,Quilimane,Paraíba,Pernambuco,50,46,,,,,,
40524,Avoador,,,,Mozambique,"Pernambuco, port unspecified",Pernambuco,331,295,,,,,,
40526,NS da Conceição Aliança,Portugal,"Viana, Joaquim Martins",1820-09-19,Mozambique,"Pernambuco, port unspecified",Pernambuco,289,265,,,,,,
40529,Oriente,Portugal,"Monteiro, Francisco Sabino; Nunes, Lourenço",1820-06-17,Quilimane,"Pernambuco, port unspecified",Pernambuco,76,69,,,,,,
40618,D Domingos,,"Vergoás, Pedro José",1815-06-10,Mozambique,"Pernambuco, port unspecified",Pernambuco,310,279,,,,,,
40619,S Marcos,,"Vítor, José Luís",1815-06-17,Mozambique,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
40640,Bizarria,,"Salgueiro, Manoel Fernandes",1816-10-11,Momboza or Zanzibar,"Pernambuco, port unspecified",Pernambuco,239,217,,,,,,
40647,Bonfim,,"Machado, Teotônio Vicente",1816-07-23,Inhambane,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
40648,Adamastor,,"Lopes, João Crisóstomo Rodrigues",1819-04-29,Mozambique,"Bahia, port unspecified",Bahia,680,300,,,,,,380
40649,Adamastor,,"Bastos, Joaquim José da Rocha",1820-09-22,Mozambique,"Bahia, port unspecified",Bahia,439,378,,,,,,61
40772,Zéfiro,,,1830-06-25,Lourenço Marques,Rio de Janeiro,Southeast Brazil,691,565,,,,,,
40777,Espada de Ferro,,"Almeida, Joaquim Francisco de",,Mozambique,"Pernambuco, port unspecified",Pernambuco,492,412,,,,,,
